helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
helix	FrCharged	0.10	0.17	0.31	0.20	0.13	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.37	0.15	0.21	0.11	0.05	0.09	0.01	0.00	0.00	0.01	
coil	FrCharged	0.56	0.02	0.07	0.08	0.02	0.12	0.02	0.00	0.00	0.11	
turns	FrCharged	0.32	0.05	0.19	0.13	0.04	0.18	0.04	0.02	0.00	0.03	
