helix	FrCharged	0.05	0.18	0.33	0.21	0.14	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.01	0.23	0.33	0.17	0.07	0.14	0.02	0.01	0.00	0.01	
coil	FrCharged	0.00	0.04	0.15	0.18	0.04	0.27	0.06	0.01	0.00	0.26	
turns	FrCharged	0.00	0.07	0.28	0.19	0.06	0.27	0.07	0.03	0.00	0.04	
helix	FrCharged	0.05	0.18	0.33	0.21	0.14	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.01	0.23	0.33	0.17	0.07	0.14	0.02	0.01	0.00	0.01	
coil	FrCharged	0.00	0.04	0.15	0.18	0.04	0.27	0.06	0.01	0.00	0.26	
turns	FrCharged	0.00	0.07	0.28	0.19	0.06	0.27	0.07	0.03	0.00	0.04	
helix	FrCharged	0.05	0.18	0.33	0.21	0.14	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.01	0.23	0.33	0.17	0.07	0.14	0.02	0.01	0.00	0.01	
coil	FrCharged	0.00	0.04	0.15	0.18	0.04	0.27	0.06	0.01	0.00	0.26	
turns	FrCharged	0.00	0.07	0.28	0.19	0.06	0.27	0.07	0.03	0.00	0.04	
helix	FrCharged	0.05	0.18	0.33	0.21	0.14	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.01	0.23	0.33	0.17	0.07	0.14	0.02	0.01	0.00	0.01	
coil	FrCharged	0.00	0.04	0.15	0.18	0.04	0.27	0.06	0.01	0.00	0.26	
turns	FrCharged	0.00	0.07	0.28	0.19	0.06	0.27	0.07	0.03	0.00	0.04	
helix	FrCharged	0.05	0.18	0.33	0.21	0.14	0.08	0.01	0.00	0.00	0.00	
betasheet	FrCharged	0.01	0.23	0.33	0.17	0.07	0.14	0.02	0.01	0.00	0.01	
coil	FrCharged	0.00	0.04	0.15	0.18	0.04	0.27	0.06	0.01	0.00	0.26	
turns	FrCharged	0.00	0.07	0.28	0.19	0.06	0.27	0.07	0.03	0.00	0.04	
