helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
helix	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.16	0.14	0.36	0.16	0.08	0.02	0.01	0.00	0.00	0.00	0.00	0.00	
betasheet	FrNetcharge	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06	0.15	0.02	0.17	0.16	0.16	0.08	0.02	0.06	0.01	0.00	0.00	0.00	
coil	FrNetcharge	0.12	0.00	0.00	0.01	0.00	0.12	0.09	0.05	0.05	0.00	0.10	0.03	0.08	0.09	0.01	0.12	0.01	0.00	0.00	0.00	
turns	FrNetcharge	0.01	0.00	0.00	0.01	0.00	0.11	0.10	0.14	0.09	0.01	0.18	0.05	0.12	0.08	0.01	0.06	0.02	0.00	0.00	0.00	
