helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
helix	FrPolar	0.27	0.33	0.28	0.08	0.03	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.41	0.14	0.21	0.10	0.04	0.09	0.01	0.00	0.00	0.01	
coil	FrPolar	0.58	0.02	0.06	0.07	0.01	0.11	0.02	0.00	0.00	0.12	
turns	FrPolar	0.41	0.06	0.20	0.11	0.03	0.14	0.03	0.01	0.00	0.02	
