helix	FrPolar	0.14	0.20	0.30	0.14	0.11	0.10	0.00	0.01	0.00	0.00	
betasheet	FrPolar	0.36	0.06	0.19	0.12	0.06	0.16	0.03	0.01	0.00	0.01	
coil	FrPolar	0.54	0.00	0.03	0.06	0.01	0.12	0.02	0.01	0.00	0.21	
turns	FrPolar	0.34	0.02	0.14	0.13	0.02	0.22	0.06	0.03	0.00	0.06	
helix	FrPolar	0.14	0.20	0.30	0.14	0.11	0.10	0.00	0.01	0.00	0.00	
betasheet	FrPolar	0.36	0.06	0.19	0.12	0.06	0.16	0.03	0.01	0.00	0.01	
coil	FrPolar	0.54	0.00	0.03	0.06	0.01	0.12	0.02	0.01	0.00	0.21	
turns	FrPolar	0.34	0.02	0.14	0.13	0.02	0.22	0.06	0.03	0.00	0.06	
helix	FrPolar	0.14	0.20	0.30	0.14	0.11	0.10	0.00	0.01	0.00	0.00	
betasheet	FrPolar	0.36	0.06	0.19	0.12	0.06	0.16	0.03	0.01	0.00	0.01	
coil	FrPolar	0.54	0.00	0.03	0.06	0.01	0.12	0.02	0.01	0.00	0.21	
turns	FrPolar	0.34	0.02	0.14	0.13	0.02	0.22	0.06	0.03	0.00	0.06	
helix	FrPolar	0.14	0.20	0.30	0.14	0.11	0.10	0.00	0.01	0.00	0.00	
betasheet	FrPolar	0.36	0.06	0.19	0.12	0.06	0.16	0.03	0.01	0.00	0.01	
coil	FrPolar	0.54	0.00	0.03	0.06	0.01	0.12	0.02	0.01	0.00	0.21	
turns	FrPolar	0.34	0.02	0.14	0.13	0.02	0.22	0.06	0.03	0.00	0.06	
helix	FrPolar	0.14	0.20	0.30	0.14	0.11	0.10	0.00	0.01	0.00	0.00	
betasheet	FrPolar	0.36	0.06	0.19	0.12	0.06	0.16	0.03	0.01	0.00	0.01	
coil	FrPolar	0.54	0.00	0.03	0.06	0.01	0.12	0.02	0.01	0.00	0.21	
turns	FrPolar	0.34	0.02	0.14	0.13	0.02	0.22	0.06	0.03	0.00	0.06	
