helix	FrPolar	0.28	0.34	0.28	0.07	0.02	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.43	0.18	0.22	0.09	0.03	0.04	0.00	0.00	0.00	0.00	
coil	FrPolar	0.64	0.04	0.11	0.09	0.02	0.09	0.01	0.00	0.00	0.00	
turns	FrPolar	0.44	0.08	0.22	0.11	0.03	0.10	0.01	0.01	0.00	0.00	
helix	FrPolar	0.28	0.34	0.28	0.07	0.02	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.43	0.18	0.22	0.09	0.03	0.04	0.00	0.00	0.00	0.00	
coil	FrPolar	0.64	0.04	0.11	0.09	0.02	0.09	0.01	0.00	0.00	0.00	
turns	FrPolar	0.44	0.08	0.22	0.11	0.03	0.10	0.01	0.01	0.00	0.00	
helix	FrPolar	0.28	0.34	0.28	0.07	0.02	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.43	0.18	0.22	0.09	0.03	0.04	0.00	0.00	0.00	0.00	
coil	FrPolar	0.64	0.04	0.11	0.09	0.02	0.09	0.01	0.00	0.00	0.00	
turns	FrPolar	0.44	0.08	0.22	0.11	0.03	0.10	0.01	0.01	0.00	0.00	
helix	FrPolar	0.28	0.34	0.28	0.07	0.02	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.43	0.18	0.22	0.09	0.03	0.04	0.00	0.00	0.00	0.00	
coil	FrPolar	0.64	0.04	0.11	0.09	0.02	0.09	0.01	0.00	0.00	0.00	
turns	FrPolar	0.44	0.08	0.22	0.11	0.03	0.10	0.01	0.01	0.00	0.00	
helix	FrPolar	0.28	0.34	0.28	0.07	0.02	0.01	0.00	0.00	0.00	0.00	
betasheet	FrPolar	0.43	0.18	0.22	0.09	0.03	0.04	0.00	0.00	0.00	0.00	
coil	FrPolar	0.64	0.04	0.11	0.09	0.02	0.09	0.01	0.00	0.00	0.00	
turns	FrPolar	0.44	0.08	0.22	0.11	0.03	0.10	0.01	0.01	0.00	0.00	
