helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
helix	Frnonpolar	0.00	0.01	0.04	0.08	0.19	0.36	0.17	0.09	0.05	0.01	
betasheet	Frnonpolar	0.03	0.00	0.03	0.06	0.07	0.31	0.16	0.11	0.10	0.13	
coil	Frnonpolar	0.27	0.00	0.03	0.06	0.02	0.19	0.08	0.03	0.01	0.30	
turns	Frnonpolar	0.10	0.01	0.11	0.11	0.05	0.29	0.11	0.09	0.02	0.11	
