helix	Frnonpolar	0.03	0.00	0.01	0.00	0.04	0.16	0.15	0.22	0.26	0.12	
betasheet	Frnonpolar	0.02	0.00	0.01	0.03	0.02	0.21	0.12	0.11	0.13	0.36	
coil	Frnonpolar	0.21	0.00	0.01	0.02	0.00	0.13	0.06	0.02	0.01	0.54	
turns	Frnonpolar	0.07	0.00	0.03	0.06	0.01	0.23	0.13	0.12	0.04	0.33	
helix	Frnonpolar	0.03	0.00	0.01	0.00	0.04	0.16	0.15	0.22	0.26	0.12	
betasheet	Frnonpolar	0.02	0.00	0.01	0.03	0.02	0.21	0.12	0.11	0.13	0.36	
coil	Frnonpolar	0.21	0.00	0.01	0.02	0.00	0.13	0.06	0.02	0.01	0.54	
turns	Frnonpolar	0.07	0.00	0.03	0.06	0.01	0.23	0.13	0.12	0.04	0.33	
helix	Frnonpolar	0.03	0.00	0.01	0.00	0.04	0.16	0.15	0.22	0.26	0.12	
betasheet	Frnonpolar	0.02	0.00	0.01	0.03	0.02	0.21	0.12	0.11	0.13	0.36	
coil	Frnonpolar	0.21	0.00	0.01	0.02	0.00	0.13	0.06	0.02	0.01	0.54	
turns	Frnonpolar	0.07	0.00	0.03	0.06	0.01	0.23	0.13	0.12	0.04	0.33	
helix	Frnonpolar	0.03	0.00	0.01	0.00	0.04	0.16	0.15	0.22	0.26	0.12	
betasheet	Frnonpolar	0.02	0.00	0.01	0.03	0.02	0.21	0.12	0.11	0.13	0.36	
coil	Frnonpolar	0.21	0.00	0.01	0.02	0.00	0.13	0.06	0.02	0.01	0.54	
turns	Frnonpolar	0.07	0.00	0.03	0.06	0.01	0.23	0.13	0.12	0.04	0.33	
helix	Frnonpolar	0.03	0.00	0.01	0.00	0.04	0.16	0.15	0.22	0.26	0.12	
betasheet	Frnonpolar	0.02	0.00	0.01	0.03	0.02	0.21	0.12	0.11	0.13	0.36	
coil	Frnonpolar	0.21	0.00	0.01	0.02	0.00	0.13	0.06	0.02	0.01	0.54	
turns	Frnonpolar	0.07	0.00	0.03	0.06	0.01	0.23	0.13	0.12	0.04	0.33	
