helix	Frnonpolar	0.00	0.01	0.04	0.09	0.20	0.37	0.18	0.08	0.04	0.00	
betasheet	Frnonpolar	0.04	0.00	0.04	0.08	0.10	0.37	0.19	0.11	0.08	0.00	
coil	Frnonpolar	0.35	0.01	0.05	0.11	0.05	0.27	0.10	0.04	0.02	0.00	
turns	Frnonpolar	0.12	0.01	0.15	0.14	0.07	0.31	0.10	0.08	0.02	0.00	
helix	Frnonpolar	0.00	0.01	0.04	0.09	0.20	0.37	0.18	0.08	0.04	0.00	
betasheet	Frnonpolar	0.04	0.00	0.04	0.08	0.10	0.37	0.19	0.11	0.08	0.00	
coil	Frnonpolar	0.35	0.01	0.05	0.11	0.05	0.27	0.10	0.04	0.02	0.00	
turns	Frnonpolar	0.12	0.01	0.15	0.14	0.07	0.31	0.10	0.08	0.02	0.00	
helix	Frnonpolar	0.00	0.01	0.04	0.09	0.20	0.37	0.18	0.08	0.04	0.00	
betasheet	Frnonpolar	0.04	0.00	0.04	0.08	0.10	0.37	0.19	0.11	0.08	0.00	
coil	Frnonpolar	0.35	0.01	0.05	0.11	0.05	0.27	0.10	0.04	0.02	0.00	
turns	Frnonpolar	0.12	0.01	0.15	0.14	0.07	0.31	0.10	0.08	0.02	0.00	
helix	Frnonpolar	0.00	0.01	0.04	0.09	0.20	0.37	0.18	0.08	0.04	0.00	
betasheet	Frnonpolar	0.04	0.00	0.04	0.08	0.10	0.37	0.19	0.11	0.08	0.00	
coil	Frnonpolar	0.35	0.01	0.05	0.11	0.05	0.27	0.10	0.04	0.02	0.00	
turns	Frnonpolar	0.12	0.01	0.15	0.14	0.07	0.31	0.10	0.08	0.02	0.00	
helix	Frnonpolar	0.00	0.01	0.04	0.09	0.20	0.37	0.18	0.08	0.04	0.00	
betasheet	Frnonpolar	0.04	0.00	0.04	0.08	0.10	0.37	0.19	0.11	0.08	0.00	
coil	Frnonpolar	0.35	0.01	0.05	0.11	0.05	0.27	0.10	0.04	0.02	0.00	
turns	Frnonpolar	0.12	0.01	0.15	0.14	0.07	0.31	0.10	0.08	0.02	0.00	
